idx,key,uid,title,year,url,tracklist
42,"('Erroll Garner', 'Solo Time! The Erroll Garner Collection Vols. 4 & 5')",14311936,Solo Time! The Erroll Garner Collection Vols. 4 & 5,0,https://www.discogs.com/release/14311936-Erroll-Garner-Solo-Time-The-Erroll-Garner-Collection-Vols-4-5,"[<Track '' 'Volume 4'>, <Track '1-1' 'Liza'>, <Track '1-2' 'It Might As Well Be Spring'>, <Track '1-3' 'If I Could Be With You'>, <Track '1-4' 'Flamingo'>, <Track '1-5' 'In A Little Spanish Town'>, <Track '1-6' ""I'll Never Smile Again"">, <Track '1-7' 'That Old Black Magic'>, <Track '1-8' 'Slow Boat To China'>, <Track '1-9' 'Indian Summer'>, <Track '1-10' 'These Foolish Things'>, <Track '1-11' 'The Man I Love'>, <Track '' 'Volume 5'>, <Track '2-1' 'Old Man River'>, <Track '2-2' ""I'll Get By"">, <Track '2-3' 'Medley: April In Paris / The Last Time I Saw Paris'>, <Track '2-4' 'Sleepy Lagoon'>, <Track '2-5' 'Cottage For Sale'>, <Track '2-6' 'Coquette'>, <Track '2-7' 'I Only Have Eyes For You'>, <Track '2-8' 'I Want To Be Loved'>, <Track '2-9' ""Medley: The World Is Waiting For The Sunrise / Our Waltz / I Can't Escape From You"">, <Track '2-10' 'Thanks For The Memory'>]"
43,"('Tete Montoliu', 'Yellow Dolphin Street')",2483587,Yellow Dolphin Street,1977,https://www.discogs.com/master/2483587-Tete-Montoliu-Yellow-Dolphin-Street,"[<Track 'A1' 'Yellow Dolphin Street'>, <Track 'A2' 'Come Sunday'>, <Track 'A3' 'I Hate You'>, <Track 'A4' ""You've Changed"">, <Track 'B1' 'Walse For Nicolien'>, <Track 'B2' 'Where Are You'>, <Track 'B3' 'Napoleon'>, <Track 'B4' 'If You Could See Me Now'>]"
44,"('Marc Copland', 'John')",16504392,John - Piano Solo,2020,https://www.discogs.com/release/16504392-Marc-Copland-John-Piano-Solo,"[<Track '1' 'Timeless'>, <Track '2' 'Isla'>, <Track '3' 'Flip Side'>, <Track '4' 'Sad Song'>, <Track '5' 'Avenue'>, <Track '6' 'Sunday School'>, <Track '7' 'Remenber Hymn'>, <Track '8' 'Love Letter'>, <Track '9' 'Vertigo'>]"
45,"('Keith Jarrett', 'Facing You')",26290,Facing You,1972,https://www.discogs.com/master/26290-Keith-Jarrett-Facing-You,"[<Track 'A1' 'In Front'>, <Track 'A2' 'Ritooria'>, <Track 'A3' 'Lalene'>, <Track 'B1' 'My Lady; My Child'>, <Track 'B2' 'Landscape For Future Earth'>, <Track 'B3' 'Starbright'>, <Track 'B4' 'Vapallia'>, <Track 'B5' 'Semblence'>]"
46,"('Fred Hersch', 'Alone at the Vanguard')",1103876,Alone At The Vanguard,2011,https://www.discogs.com/master/1103876-Fred-Hersch-Alone-At-The-Vanguard,"[<Track '1' 'In The Wee Small Hours Of The Morning'>, <Track '2' 'Down Home (dedicated to Bill Frisell)'>, <Track '3' 'Echoes'>, <Track '4' ""Lee's Dream (dedicated to Lee Konitz)"">, <Track '5' 'Pastorale (dedicated to Robert Schumann)'>, <Track '6' 'Doce De Coco'>, <Track '7' 'Memories Of You'>, <Track '8' 'Work'>, <Track '9' 'Encore: Doxy'>]"
47,"('Erroll Garner', 'Solitaire')",370291,Solitaire,1955,https://www.discogs.com/master/370291-Erroll-Garner-Solitaire,"[<Track 'A1' ""I'll Never Smile Again"">, <Track 'A2' ""Then You've Never Been Blue"">, <Track 'A3' ""It's Talk Of The Town"">, <Track 'A4' 'Solitaire'>, <Track 'B1' 'A Cottage For Sale'>, <Track 'B2' 'That Old Feeiling'>, <Track 'B3' 'Over The Rainbow'>]"
48,"('McCoy Tyner', 'Soliloquy')",1067220,Soliloquy,1992,https://www.discogs.com/master/1067220-McCoy-Tyner-Soliloquy,"[<Track '1' 'Crescent'>, <Track '2' 'Espanola'>, <Track '3' 'All The Things You Are'>, <Track '4' 'Twilight Mist'>, <Track '5' 'Willow Weep For Me'>, <Track '6' ""Lonnie's Lament"">, <Track '7' 'Tivoli'>, <Track '8' 'Tribute To Lady Day'>, <Track '9' 'I Should Care'>, <Track '10' 'Three Flowers'>, <Track '11' ""Bouncin' With Bud"">, <Track '12' 'After The Rain'>, <Track '13' 'Effendi'>, <Track '14' 'Crescent (Alt. Take)'>]"
49,"('Bill Evans', 'The Complete Riverside Recordings')",392992,The Complete Riverside Recordings,1984,https://www.discogs.com/master/392992-Bill-Evans-The-Complete-Riverside-Recordings,"[<Track 'A1' 'I Love You'>, <Track 'A2' 'Five'>, <Track 'A3' 'Conception'>, <Track 'A4' 'Easy Living'>, <Track 'A5' 'Displacement'>, <Track 'A6' 'Speak Low'>, <Track 'B1' 'Our Delight'>, <Track 'B2' 'No Cover, No Minimum [Take 1-Alternate]'>, <Track 'B3' 'No Cover, No Minimum [Take 2-Originally Issued]'>, <Track 'B4' ""I've Got It Bad (And That Ain't Good)"">, <Track 'B5' 'Waltz For Debby'>, <Track 'B6' 'My Romance'>, <Track 'C1' 'Minority'>, <Track 'C2' 'Young And Foolish'>, <Track 'C3' 'Night And Day'>, <Track 'C4' 'Oleo'>, <Track 'D1' 'Tenderly'>, <Track 'D2' 'What Is There To Say?'>, <Track 'D3' 'Peace Piece'>, <Track 'D4' 'Lucky To Be Me'>, <Track 'D5' 'Some Other Time'>, <Track 'D6' 'Epilogue'>, <Track 'E1' 'You And The Night And The Music'>, <Track 'E2' 'How Am I To Know?'>, <Track 'E3' ""Woody'n You [Take 1]"">, <Track 'E4' ""Woody'n You [Take 2]"">, <Track 'F1' 'My Heart Stood Still'>, <Track 'F2' 'Green Dolphin Street'>, <Track 'F3' ""Peri's Scope"">, <Track 'F4' 'Witchcraft'>, <Track 'G1' 'Spring Is Here'>, <Track 'G2' 'What Is This Thing Called Love?'>, <Track 'G3' 'Come Rain Or Come Shine'>, <Track 'G4' 'Blue In Green [Take 2-Previously Unissued]'>, <Track 'G5' 'Blue In Green [Take 3-Originally Issued]'>, <Track 'H1' 'Autumn Leaves [Mono]'>, <Track 'H2' 'Autumn Leaves [Stereo]'>, <Track 'H3' 'Some Day My Prince Will Come'>, <Track 'H4' 'When I Fall In Love'>, <Track 'I1' 'Elsa'>, <Track 'I2' 'Sweet And Lovely'>, <Track 'I3' 'Beautiful Love [Take 1-Previously Unissued]'>, <Track 'I4' 'Beautiful Love [Take 2-Originally Issued]'>, <Track 'J1' 'I Wish I Knew'>, <Track 'J2' 'The Boy Next Door'>, <Track 'J3' 'Haunted Heart'>, <Track 'J4' 'Nardis'>, <Track 'J5' 'How Deep Is The Ocean?'>, <Track 'K1' 'Israel'>, <Track 'K2' 'Who Cares? [Take 4-Previously Unissued]'>, <Track 'K3' 'Who Cares? [Take 5-Originally Issued]'>, <Track 'K4' 'Goodbye'>, <Track 'L1' 'Nancy (With The Laughing Face)'>, <Track 'L2' 'Toy'>, <Track 'L3' 'Elsa'>, <Track 'L4' 'Waltz For Debby'>, <Track 'L5' 'Venice'>, <Track 'M1' 'Know What I Mean? [Take 12-Alternate]'>, <Track 'M2' 'Know What I Mean? [Take Re-7-Originally Issued]'>, <Track 'M3' 'Alice In Wonderland [Take 1-Alternate]'>, <Track 'M4' 'My Foolish Heart'>, <Track 'N1' 'All Of You [Take 1-Previously Unissued]'>, <Track 'N2' 'My Romance [Take 1-Originally Issued]'>, <Track 'N3' 'Some Other Time'>, <Track 'O1' 'Solar'>, <Track 'O2' ""Gloria's Step [Take 2-Originally Issued]"">, <Track 'O3' ""My Man's Gone Now"">, <Track 'P1' 'All Of You [Take 2-Originally Issued]'>, <Track 'P2' 'Detour Ahead [Take 1-Alternate]'>, <Track 'P3' 'Waltz For Debby [Take 1-Alternate]'>, <Track 'Q1' 'Alice In Wonderland [Take 2-Originally Issued]'>, <Track 'Q2' 'Porgy [I Love You, Porgy]'>, <Track 'Q3' 'My Romance [Take 2-Alternate]'>, <Track 'R1' 'Milestones'>, <Track 'R2' 'Detour Ahead [Take 2-Originally Issued]'>, <Track 'R3' ""Gloria's Step [Take 3-Alternate]"">, <Track 'S1' 'Waltz For Debby [Take 2-Originally Issued]'>, <Track 'S2' 'All Of You [Take 3-Alternate]'>, <Track 'S3' 'Jade Visions [Take 1-Alternate]'>, <Track 'S4' 'Jade Visions [Take 2-Originally Issued]'>, <Track 'S5' '... A Few Final Bars'>, <Track 'T1' 'Danny Boy'>, <Track 'T2' 'Like Someone In Love'>, <Track 'T3' 'In Your Own Sweet Way'>, <Track 'T4' 'Easy To Love'>, <Track 'U1' 'How My Heart Sings'>, <Track 'U2' 'Summertime'>, <Track 'U3' 'If You Could See Me Now'>, <Track 'U4' 'Walking Up'>, <Track 'V1' 'Very Early'>, <Track 'V2' 'Show-type Tune'>, <Track 'V3' 'Re: Person I Knew'>, <Track 'V4' '34 Skidoo'>, <Track 'W1' 'Polkadots And Moonbeams'>, <Track 'W2' 'I Should Care'>, <Track 'W3' 'I Fall In Love To Easily'>, <Track 'W4' ""Ev'rything I Love"">, <Track 'W5' 'In Love In Vain'>, <Track 'X1' 'Starway To The Stars'>, <Track 'X2' 'In Your Own Street Way [Take 1-Originally Issued]'>, <Track 'X3' 'In Your Own Street Way [Take 2-Previously Unissued]'>, <Track 'X4' 'It Might As Well Be Spring'>, <Track 'Y1' 'Wrap Your Troubles In Dreams'>, <Track 'Y2' 'When You Wish Upon A Star'>, <Track 'Y3' 'You Go To My Head'>, <Track 'Y4' 'You And The Night And The Music'>, <Track 'Z1' 'Interplay'>, <Track 'Z2' ""I'll Never Smile Again [Take Re-6*-Previously Unissued]"">, <Track 'Z3' ""I'll Never Smile Again [Take Re-7*-Originally Issued]"">, <Track 'AA1' 'Loose Bloose [Take 3]'>, <Track 'AA2' 'Loose Bloose [Take 4 And 2]'>, <Track 'AA3' 'Fudgesickle Built For Four'>, <Track 'AA4' 'Time Remembered'>, <Track 'BB1' 'Funkarello'>, <Track 'BB2' 'My Bells'>, <Track 'BB3' 'There Came You'>, <Track 'BB4' 'Fun Ride'>, <Track 'CC1' 'What Kind Of Fool Am I? [Take 1-Previously Unissued]'>, <Track 'CC2' 'Medley: My Favorite Things / Easy To Love / Baubles, Bangles And Beads [Previously Unissued]'>, <Track 'CC3' 'When I Fall In Love [Previously Unissued]'>, <Track 'DD1' 'Medley: ""Spartacus"" Love Theme / Nardis [Previously Unissued]'>, <Track 'DD2' 'Everything Happens To Me [Previously Unissued]'>, <Track 'DD3' 'April In Paris [Previously Unissued]'>, <Track 'EE1' 'All The Things You Are [Previously Unissued]'>, <Track 'EE2' 'Santa Claus Is Coming To Town [Previously Unissued]'>, <Track 'EE3' 'I Loves You, Porgy [Previously Unissued]'>, <Track 'FF1' 'What Kind Of Fool Am I? [Previously Unissued]'>, <Track 'FF2' 'Love Is Here To Stay [Previously Unissued]'>, <Track 'FF3' 'Ornithology [Previously Unissued]'>, <Track 'FF4' 'Medley: Autumn In New York / How About You? [Previously Unissued]'>, <Track 'GG1' 'All The Things You Are [Previously Unissued]'>, <Track 'GG2' 'Lover Man'>, <Track 'GG3' 'Love Is Here To Stay'>, <Track 'GG4' 'Stella By Starlight'>, <Track 'HH1' ""'Round Midnight"">, <Track 'HH2' 'Who Cares?'>, <Track 'HH3' 'The Boy Next Door'>, <Track 'HH4' ""Isn't It Romantic?"">, <Track 'II1' 'What Is This Thing Called Love?'>, <Track 'II2' 'How About You?'>, <Track 'II3' 'Blues In F / Five'>, <Track 'II4' 'Everything Happens To Me'>, <Track 'II5' 'In A Sentimental Mood'>, <Track 'JJ1' 'My Heart Stood Still'>, <Track 'JJ2' 'Time Remembered'>, <Track 'JJ3' 'Wonder Why'>, <Track 'JJ4' 'Swedish Pastry'>]"
50,"('Stanley Cowell', ""Travellin' Man"")",3038913,Travellin' Man,1992,https://www.discogs.com/release/3038913-Stanley-Cowell-Travellin-Man,"[<Track '1' 'Departure'>, <Track '2' 'Sweet Song'>, <Track '3' 'The Shuttle'>, <Track '4' 'You Took Advantage Of Me'>, <Track '5' 'Blues For The Viet Cong'>, <Track '6' 'Wedding March'>, <Track '7' 'Photon In A Paper World'>, <Track '8' ""Travellin' Man"">]"
51,"('Jacky Terrasson', 'Mirror')",140914,Mirror,2007,https://www.discogs.com/master/140914-Jacky-Terrasson-Mirror,"[<Track '1' 'Caravan'>, <Track '2' 'Juvenile'>, <Track '3' 'Just A Gigolo'>, <Track '4' ""You've Got A Friend"">, <Track '5' 'Little Red Ribbon'>, <Track '6' 'Tragic Mulotto Blues'>, <Track '7' 'America The Beautiful'>, <Track '8' 'Bluesette'>, <Track '9' 'Cherokee'>, <Track '10' 'Everything Happens To Me'>, <Track '11' 'Mirror'>, <Track '12' 'Go Round'>]"
52,"('Roland Hanna', 'Duke Ellington Piano Solos')",10725203,Duke Ellington Piano Solos,1991,https://www.discogs.com/release/10725203-Sir-Roland-Hanna-Duke-Ellington-Piano-Solos,"[<Track '1' 'In My Solitude'>, <Track '2' 'Something To Live For'>, <Track '3' 'In A Sentimental Mood'>, <Track '4' 'Portrait Of Bert Williams'>, <Track '5' 'Warm Valley'>, <Track '6' 'Isfahan'>, <Track '7' 'Single Petal Of A Rose'>, <Track '8' ""I Got It Bad And That Ain't Good"">, <Track '9' 'Reflections In D'>, <Track '10' 'Come Sunday'>, <Track '11' 'Caravan'>]"
53,"('Makoto Ozone', 'OZONE 60 (STANDARDS)')",21799114,Ozone 60 -Standards-,2022,https://www.discogs.com/release/21799114-Makoto-Ozone-Ozone-60-Standards-,"[<Track '1' 'Sometimes'>, <Track '2' 'Smile'>, <Track '3' 'All The Things You Are'>, <Track '4' 'Alfie'>, <Track '5' 'I Loves You, Porgy'>, <Track '6' 'Blue Monk'>, <Track '7' 'My Foolish Heart'>, <Track '8' 'Embraceable You'>, <Track '9' ""Lulu's Back In Town"">, <Track '10' 'The Star-Crossed Lovers'>, <Track '11' 'Só Danço Samba'>, <Track '12' 'Body And Soul'>]"
54,"('Oscar Peterson', ""Marian McPartland's Piano Jazz Radio Broadcast"")",1657299,Marian McPartland's Piano Jazz Radio Broadcast,1996,https://www.discogs.com/master/1657299-Oscar-Peterson-Marian-McPartlands-Piano-Jazz-Radio-Broadcast,"[<Track '1' 'Old Folks'>, <Track '2' 'Conversation'>, <Track '3' 'Place St. Henri'>, <Track '4' 'Conversation'>, <Track '5' 'Like Someone In Love'>, <Track '6' 'Conversation'>, <Track '7' 'Body And Soul'>, <Track '8' 'Conversation'>, <Track '9' 'Emily'>, <Track '10' 'Conversation'>, <Track '11' ""Take The 'A' Train"">, <Track '12' 'Conversation'>, <Track '13' 'Falling In Love With Love'>, <Track '14' 'Conversation'>, <Track '15' 'Willow Creek'>, <Track '16' 'Conversation'>, <Track '17' 'Cotton Tail'>]"
55,"('Hiromi', 'Oscar, With Love -  The Songs of Oscar Peterson')",14865300,"Oscar, With Love",2020,https://www.discogs.com/release/14865300-Various-Oscar-With-Love,"[<Track 'A1' 'The Contessa'>, <Track 'A2' 'Blues For Smedley'>, <Track 'A3' 'Céline‘s Waltz'>, <Track 'A4' 'A Little Jazz Exercise'>, <Track 'B1' 'Bossa Beguine'>, <Track 'B2' 'Cool Walk'>, <Track 'B3' 'Dream Of Me'>, <Track 'C1' 'Sushi'>, <Track 'C2' 'Ballad For Benny Carter'>, <Track 'C3' 'On Danish Shore'>, <Track 'D1' 'If I Love Again'>, <Track 'D2' 'Tranquille'>, <Track 'D3' 'Wheatland'>, <Track 'D4' 'Take Me Home'>, <Track 'E1' 'If You Only Knew Me'>, <Track 'E2' 'Love Ballade'>, <Track 'E3' 'The Gentle Waltz'>, <Track 'F1' 'Announcement'>, <Track 'F2' 'Laurentide Waltz'>, <Track 'F3' 'Harcourt Nights'>, <Track 'G1' 'Summertime'>, <Track 'G2' 'Why Think About Tomorrow?'>, <Track 'G3' 'Morning'>, <Track 'H1' 'Dear Oscar'>, <Track 'H2' 'I Remember OP'>, <Track 'H3' 'Sir Lancewell'>, <Track 'H4' 'Trust'>, <Track 'I1' 'One For Oscar'>, <Track 'I2' 'The Smudge'>, <Track 'I3' 'OP‘s Boogie'>, <Track 'I4' 'Oscar‘s New Camera'>, <Track 'J1' 'Emmanuel'>, <Track 'J2' 'Look What You‘ve Done To Me'>, <Track 'J3' 'Goodbye Old Friend'>, <Track 'J4' 'Hymn To Freedom'>, <Track 'J5' 'When Summer Comes'>]"
56,"('Art Tatum', 'The Art Tatum Solo Masterpieces, Vol. 7')",4486310,"The Art Tatum Solo Masterpieces, Volume Seven",1992,https://www.discogs.com/release/4486310-Art-Tatum-The-Art-Tatum-Solo-Masterpieces-Volume-Seven,"[<Track '1' 'Mighty Like A Rose'>, <Track '2' 'What Does It Take'>, <Track '3' 'Taboo'>, <Track '4' 'Humoresque'>, <Track '5' 'Smoke Gets In Your Eyes'>, <Track '6' 'Moon Song'>, <Track '7' 'Dancing In The Dark'>, <Track '8' 'Japanese Sandman'>, <Track '9' 'So Beats My Heart For You'>, <Track '10' 'Judy'>, <Track '11' 'Out Of Nowhere'>, <Track '12' 'Somebody Loves Me'>, <Track '13' 'Wrap Your Troubles In Dreams'>, <Track '14' 'Moonlight On The Ganges'>, <Track '15' 'Where Or When'>, <Track '16' ""Isn't It Romantic"">]"
57,"('Bobby Timmons', 'This Here Is Bobby Timmons')",190398,This Here Is Bobby Timmons,1960,https://www.discogs.com/master/190398-Bobby-Timmons-This-Here-Is-Bobby-Timmons,"[<Track 'A1' 'This Here'>, <Track 'A2' ""Moanin'"">, <Track 'A3' 'Lush Life'>, <Track 'A4' ""The Party's Over"">, <Track 'A5' 'Prelude To A Kiss'>, <Track 'B1' 'Dat Dere'>, <Track 'B2' 'My Funny Valentine'>, <Track 'B3' 'Come Rain Or Come Shine'>, <Track 'B4' 'Joy Ride'>]"
58,"('Dick Hyman', 'Autumn in New York - Dick Hyman Plays the Music of Vernon Duke')",24075386,Autumn In New York: Dick Hyman Plays The Music Of Vernon Duke,2008,https://www.discogs.com/release/24075386-Dick-Hyman-Autumn-In-New-York-Dick-Hyman-Plays-The-Music-Of-Vernon-Duke,"[<Track '1' 'Cabin In The Sky'>, <Track '2' 'What Is There To Say'>, <Track '3' 'Now'>, <Track '4' 'April In Paris'>, <Track '5' 'London In July'>, <Track '6' 'Autumn In New York'>, <Track '7' 'Suddenly'>, <Track '8' 'I Am Only Human After All'>, <Track '9' 'Rio Cristal'>, <Track '10' 'Taking A Chance On Love'>, <Track '11' 'When You Live On An Island'>, <Track '12' ""I Can't Get Started"">, <Track '13' 'The Love I Long For'>, <Track '14' ""I'm Gonna Ring The Bell Tonight"">]"
59,"('John Hicks', 'I Remember You (Recorded Live in Concert, 2006)')",10356223,I Remember You,2009,https://www.discogs.com/release/10356223-John-Hicks-I-Remember-You,"[<Track '1' 'Reflections'>, <Track '2' 'I Remember You'>, <Track '3' 'A Nightingale Sang In Barkley Square'>, <Track '4' 'All Of You'>, <Track '5' 'Solar'>, <Track '6' 'I Want to Talk About You'>, <Track '7' 'Everytime We Say Goodbye'>, <Track '8' 'Upper Manhattan Medical Group'>, <Track '9' 'Nutty'>]"
60,"('Dick Hyman', 'September Song - Dick Hyman Plays the Music of Kurt Weill')",639120,September Song: Dick Hyman Plays The Music Of Kurt Weill,0,https://www.discogs.com/master/639120-Dick-Hyman-September-Song-Dick-Hyman-Plays-The-Music-Of-Kurt-Weill,"[<Track 'A1' 'Green-Up Time'>, <Track 'A2' 'It Never Was You'>, <Track 'A3' 'Foolish Heart'>, <Track 'A4' 'To Love You & To Lose You'>, <Track 'A5' 'Speak Low'>, <Track 'A6' 'Moon-Faced, Starry-Eyed'>, <Track 'A7' 'Sing Me Not A Ballad'>, <Track 'B1' 'Lost In The Stars'>, <Track 'B2' 'My Ship'>, <Track 'B3' 'Trouble Man'>, <Track 'B4' 'One Life To Live'>, <Track 'B5' 'This Is New'>, <Track 'B6' 'September Song'>, <Track 'B7' 'How Much I Love You'>]"
61,"('Bill Evans', 'Alone')",243667,Alone,1970,https://www.discogs.com/master/243667-Bill-Evans-Alone,"[<Track 'A1' ""Here's That Rainy Day"">, <Track 'A2' 'A Time For Love'>, <Track 'A3' 'Midnight Mood'>, <Track 'A4' 'On A Clear Day (You Can See Forever)'>, <Track 'B' 'Never Let Me Go'>]"
62,"('Brad Mehldau', 'Live in Marciac')",713552,Live In Marciac,2011,https://www.discogs.com/master/713552-Brad-Mehldau-Live-In-Marciac,"[<Track 'CD1-1' 'Storm'>, <Track 'CD1-2' 'It’s All Right With Me'>, <Track 'CD1-3' 'Secret Love'>, <Track 'CD1-4' 'Unrequited'>, <Track 'CD1-5' 'Resignation'>, <Track 'CD1-6' 'Trailer Park Ghost'>, <Track 'CD1-7' 'Goodbye Storyteller (For Fred Myrow)'>, <Track 'CD1-8' 'Exit Music (For A Film)'>, <Track 'CD2-1' 'Things Behind The Sun'>, <Track 'CD2-2' 'Lithium'>, <Track 'CD2-3' 'Lilac Wine'>, <Track 'CD2-4' 'Martha My Dear'>, <Track 'CD2-5' 'My Favorite Things'>, <Track 'CD2-6' 'Dat Dere'>, <Track 'DVD-1' 'Storm / It’s All Right With Me'>, <Track 'DVD-2' 'Secret Love'>, <Track 'DVD-3' 'Unrequited'>, <Track 'DVD-4' 'Resignation'>, <Track 'DVD-5' 'Trailer Park Ghost'>, <Track 'DVD-6' 'Goodbye Storyteller (For Fred Myrow) / Exit Music (For A Film)'>, <Track 'DVD-7' 'Things Behind The Sun / Lithium'>, <Track 'DVD-8' 'Lilac Wine'>, <Track 'DVD-9' 'Martha My Dear'>, <Track 'DVD-10' 'My Favorite Things'>]"
63,"('Teddy Wilson', 'Alone')",16275664,Alone,2017,https://www.discogs.com/release/16275664-Teddy-Wilson-Alone,"[<Track '1' 'Tea For Two'>, <Track '2' 'Body And Soul\t'>, <Track '3' ""After You've Gone"">, <Track '4' "" I Can't Get Started/Moonglow"">, <Track '5' 'Sweet Georgia Brown'>, <Track '6' 'Shiny Stockings'>, <Track '7' ""Li'l Darlin'"">, <Track '8' ""One O'Clock Jump"">, <Track '' 'Gershwin Medley'>, <Track '10' 'But Not For Me'>, <Track '11' 'Sophisticated Lady'>, <Track '' '  Ellington Medley'>, <Track '' 'Strayhorn Medley'>]"
64,"('Herbie Hancock', 'The Piano')",261246,The Piano,1979,https://www.discogs.com/master/261246-Herbie-Hancock-The-Piano,"[<Track 'A1' 'My Funny Valentine'>, <Track 'A2' 'On Green Dolphin Street'>, <Track 'A3' 'Someday My Prince Will Come'>, <Track 'B1' 'Harvest Time'>, <Track 'B2' 'Sonrisa'>, <Track 'B3' 'Manhattan Island'>, <Track 'B4' 'Blue Otani'>]"
65,"('Erroll Garner', 'Afternoon Of An Elf')",435631,Afternoon Of An Elf,1955,https://www.discogs.com/master/435631-Erroll-Garner-Afternoon-Of-An-Elf,"[<Track 'A1' 'Afternoon Of An Elf'>, <Track 'A2' ""Don't Be That Way"">, <Track 'A3' 'St. James Infimary'>, <Track 'B1' 'A Smooth One'>, <Track 'B2' ""Is You Is Or Is You Ain't My Baby"">, <Track 'B3' 'All My Loves Are You'>, <Track 'B4' 'Fandango'>]"
66,"('Makoto Ozone', 'Oscar, With Love -  The Songs of Oscar Peterson')",14865300,"Oscar, With Love",2020,https://www.discogs.com/release/14865300-Various-Oscar-With-Love,"[<Track 'A1' 'The Contessa'>, <Track 'A2' 'Blues For Smedley'>, <Track 'A3' 'Céline‘s Waltz'>, <Track 'A4' 'A Little Jazz Exercise'>, <Track 'B1' 'Bossa Beguine'>, <Track 'B2' 'Cool Walk'>, <Track 'B3' 'Dream Of Me'>, <Track 'C1' 'Sushi'>, <Track 'C2' 'Ballad For Benny Carter'>, <Track 'C3' 'On Danish Shore'>, <Track 'D1' 'If I Love Again'>, <Track 'D2' 'Tranquille'>, <Track 'D3' 'Wheatland'>, <Track 'D4' 'Take Me Home'>, <Track 'E1' 'If You Only Knew Me'>, <Track 'E2' 'Love Ballade'>, <Track 'E3' 'The Gentle Waltz'>, <Track 'F1' 'Announcement'>, <Track 'F2' 'Laurentide Waltz'>, <Track 'F3' 'Harcourt Nights'>, <Track 'G1' 'Summertime'>, <Track 'G2' 'Why Think About Tomorrow?'>, <Track 'G3' 'Morning'>, <Track 'H1' 'Dear Oscar'>, <Track 'H2' 'I Remember OP'>, <Track 'H3' 'Sir Lancewell'>, <Track 'H4' 'Trust'>, <Track 'I1' 'One For Oscar'>, <Track 'I2' 'The Smudge'>, <Track 'I3' 'OP‘s Boogie'>, <Track 'I4' 'Oscar‘s New Camera'>, <Track 'J1' 'Emmanuel'>, <Track 'J2' 'Look What You‘ve Done To Me'>, <Track 'J3' 'Goodbye Old Friend'>, <Track 'J4' 'Hymn To Freedom'>, <Track 'J5' 'When Summer Comes'>]"
67,"('Ellis Marsalis', 'Piano In E -  Solo Piano')",7081915,Piano In E / Solo Piano,1991,https://www.discogs.com/release/7081915-Ellis-Marsalis-Piano-In-E-Solo-Piano,"[<Track '1' 'Hallucinations'>, <Track '2' 'Django'>, <Track '3' 'Jitterbug Waltz'>, <Track '4' ""Nica's Dream"">, <Track '5' 'So In Love'>, <Track '6' 'Fourth Autumn'>, <Track '7' 'Zee Blues'>]"
68,"('Barry Harris', 'Listen To Barry Harris...Solo Piano (Reissue)')",6432213,Listen To Barry Harris . . . Solo Piano,1978,https://www.discogs.com/release/6432213-Barry-Harris-Listen-To-Barry-Harris--Solo-Piano,"[<Track 'A1' 'The Londonderry Air'>, <Track 'A2' 'Mutattra'>, <Track 'A3' 'Louise'>, <Track 'A4' 'Body And Soul'>, <Track 'A5' 'Ascension'>, <Track 'B1' 'Anachronism'>, <Track 'B2' ""I Didn't Know What Time It Was"">, <Track 'B3' 'Teenie'>, <Track 'B4' 'Sphere'>, <Track 'B5' 'Dancing In The Dark'>]"
69,"('Teddy Wilson', 'Solo Piano - The Keystone Transriptions')",19345435,Solo Piano (The Keystone Transcriptions c.1939-1940),1997,https://www.discogs.com/release/19345435-Teddy-Wilson-Solo-Piano-The-Keystone-Transcriptions-c1939-1940,"[<Track '1' 'A Ghost Of A Chance'>, <Track '2' 'Sunday'>, <Track '3' 'More Than You Know'>, <Track '4' ""Summer's End"">, <Track '5' ""Goin' Home Blues"">, <Track '6' 'Minute Steak'>, <Track '7' 'Sugar'>, <Track '8' 'At Sundown'>, <Track '9' 'Tuesday Jump'>, <Track '10' 'The Moon Is Low'>, <Track '11' 'Afternoon Blues'>, <Track '12' 'The Little Things That Mean So Much'>, <Track '13' ""You're My Favorite Memory"">, <Track '14' 'Rhythmatics'>, <Track '15' 'Almost Blues'>, <Track '16' 'Tempo Positioned'>, <Track '17' 'Out Of Nowhere'>, <Track '18' 'Night And Day'>, <Track '19' 'Lady Be Good'>, <Track '20' ""Jumpin' Off"">, <Track '21' ""You'll Be Sorry"">, <Track '22' 'Chinatown, My Chinatown'>, <Track '23' 'Twilight Blue'>, <Track '24' 'Love Is The Sweetest Thing'>, <Track '25' 'Rose Room'>, <Track '26' ""Why Shouldn't I"">]"
70,"('Ray Bryant', 'Plays Blues and Ballads (Piano Solo)')",14277736,Plays Blues And Ballads,0,https://www.discogs.com/release/14277736-Ray-Bryant-Plays-Blues-And-Ballads,"[<Track '1' 'Basin Street Blues'>, <Track '2' 'I Gotta Right To Sing The Blues'>, <Track '' 'Medley:'>, <Track '4' 'In De Backroom'>, <Track '5' 'My One And Only Love'>, <Track '6' 'Black And Blue'>, <Track '7' 'If I Just Make It Into Heaven'>, <Track '8' ""I Can't Get Started"">, <Track '9' 'Tin Roof Blues'>, <Track '10' ""Gee Baby Ain't I Good To You"">, <Track '11' 'Blues In The Pulpit'>]"
